cartodb_id,addrlocat,addrtype,accessabil,organic,transparen,affordabil,commerce_e,education,ahsf,humane_an,community,fair,sustainabl,local,fresh,health_nut,preserves,value_adde,seafood,eggs,meat,dairy,produce,county,regional,national,legal_stru,online_de,cooperativ,food_hub,csa,business_m,business_w,state,city,vbsc,business_n,lon,lat
239,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,N/A,WA,Mt. Vernon,1,North Sound Food Hub,-122.334,48.4212
1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,.,1,0,1,0,.,https://www.moorefarmsandfriends.com/store/pc/viewContent.asp?idpage=10,AL,Woodland,1,Moore Farms and Friends,-84.2621,33.7937
2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,cooperative,0,1,1,1,.,http://shop.mannamarket.net/,AL,Birmingham,1,Manna Market,-86.7704,33.5311
3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,.,0,0,1,1,.,http://growalabama.com/,AL,Birmingham,1,Grow Alabama,-86.7704,33.5311
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WA,,1,Pudget Sound Food Hub,-120.7401,47.7511
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,.,1,0,1,0,.,http://russellville.locallygrown.net/,AR,Russellville,1,Russellville Community Market,-93.2981,34.9858
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,.,1,0,0,0,.,http://farm2work.locallygrown.net/,AR,Little Rock,1,Farm2Work,-92.3707,34.6743
6,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,cooperative,0,1,0,0,.,N/A,AR,Forrest City,1,"Arkansas Delta Seeds of Change, Inc",-90.8142,34.9825
7,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,.,0,0,1,0,.,http://littlerock.locallygrown.net/,AR,Little Rock,1,Little Rock Local Food Club,-92.3707,34.6743
8,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,.,0,0,0,1,.,http://www.foodshedfarms.com/,AR,Grady,1,Foodshed Farm,-91.7614,34.1081
9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,0,0,0,0,0,0,1,0,1,0,0,non-profit,1,0,1,0,.,http://www.ycgrown.com/,AZ,Chino Valley,1,"YCGrown, the Yavapai County Farmers & Ranchers Cooperative",-112.4651,34.7747
10,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,.,0,0,1,0,.,http://phxpublicmarket.com/openair/,AZ,Phoenix,1,Downtown Phoenix Public Market (Community Food Connections),-111.9882,33.4954
12,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,cooperative,1,1,1,0,.,http://www.farm2familydirect.com/,CA,Nevada City,1,Farm 2 Family Direct,-122.2868,37.7853
13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,.,1,0,1,1,,http://capayvalleyfarmshop.com/,CA,Esparto,1,Capay Valley Farm Shop,-122.0526,38.7086
14,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,non-profit,0,0,1,0,.,http://www.tahoefoodhub.org/,CA,Truckee,1,Tahoe Food Hub,-122.2002,40.0241
15,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,.,0,0,1,0,.,http://csuinc.org/programs/village-market-place/,CA,Los Angeles,1,Village Market Place,-118.0698,34.6168
16,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,non-profit,0,0,1,0,.,http://www.mandelamarketplace.org/#!madelafoods/cs4q,CA,Oakland,1,Mandela Marketplace,-80.2877,43.0384
17,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,non-profit,0,0,1,0,distributor; wholesaler; farm-to-business/institution,http://www.albafarmers.org,CA,Salinas,1,Agriculture and Land-Based Training Association (ALBA) Organics,-121.7829,36.7316
19,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,.,0,0,1,0,.,http://www.harvestsantabarbara.com/,CA,Santa Barbara,1,Harvest Santa Barbara,-119.6768,34.4204
20,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,s corp,0,0,1,0,.,http://www.sonomaorganics.com/,CA,Sebastopol,1,Sonoma Organics,-121.1262,39.3536
