Business Name,VBSC,City,State,Latitude,Longitude,Description,Business Website,Business Model,CSA,Food-Hub,Cooperative,Online (Delivery or Pickup),Legal Structure,Mission Statement,National,Regional,State,County,Produce,Dairy,Meat,Eggs,Seafood,Value-Added/ Dry goods,Preserves/ Honey,Value Claims,Health/Nutrition,Fresh,Local,Sustainable/Environment,Fair,Community,Humane (Animal),AHSF,Education (Consumers),Education (Farmers),Commerce/Economics (Local Economy),Affordability,Transparency,Organic,Accessability,Services Provided ,Market Outlets,# of Producers
Appalachian Harvest Network,1,Abingdon,VA,36.71,-81.9773,Whole distribution as well as producer training taking a regional approach (TN & VA) that sells certified organic produce and helps distribute local food products to urban areas with much demand. ,http://asdevelop.org/,food product aggregation and distribution,0,1,0,0,.,,0,1,0,0,1,0,0,1,0,0,0,.,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,food aggregation & training,.,.
Rio Arriba Farms CSA,1,Abiquiu,NM,36.207031,-106.318669,No real inclusion/exclusion criteria for this CSA so no real evidence of a VBSC,http://www.rioarribafarms.com/,.,1,0,0,0,.,,0,0,1,0,1,0,0,0,0,0,0,.,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,.,.,.
Acme Farms and Kitchen,1,Acme,WA,48.717057,-122.205158,Have own organic CSA farm but also have warehouse that aggregates farm products from over 150 farms.,http://www.acmefarmsandkitchen.com,box scheme,0,0,0,1,.,,0,1,0,0,1,1,1,1,1,1,0,"source primarily from small and mid-sized regional farmers 12 months a year, but will supplement boxes Feb-May from a farmer owned organic cooperative that sources primarily from Washington, Oregon and California",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,.,.,52
FarmieMarket Online,1,Albany,NY,42.651167,-73.754968,"FarmieMarket is an online farmers’ market.  Our mission is to improve sales for small, environmentally- and socially-responsible farms, connect families with quality local food, and strengthen rural and regional economies by recycling food dollars locally. FarmieMarket.com is owned and operated by FarmieMarket Online, LLC, an agricultural producer association modeled after the Capper-Volstead Act that assists small- and medium-sized agricultural producers to act together to market their products directly to consumers.  All member farms are family-owned and operated, and certify that all livestock products are 100% antibiotic- and hormone-free, and all produce is 100% pesticide- and GMO-free.",https://farmiemarket.com/,.,0,1,0,1,LLC,,0,0,1,0,1,0,1,1,0,1,1,.,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,.,.,.
Parrfection Produce,1,Albany,WI,42.707973,-89.436832,"No evidence VBSC. Parrfection Produce, LLC is a wholesale produce distribution company specializing in providing locally sourced produce to customers in southern Wisconsin. We work with many of the Amish and Mennonite farmers in southwestern Wisconsin to provide a wide range of fresh produce throughout the year",http://parrfectionproduce.com/,.,0,1,0,0,.,,0,0,1,0,1,0,0,0,0,0,0,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
La Montanita Co-op Distribution Center,1,Albuquerque,NM,35.084103,-106.650985,"La Montañita, a consumer cooperative, believes in the shared benefits of healthy food, sound environmental practices and a strong local economy with results that justify the resources used. La Montañita Co-op offers fresh organic produce, bulk foods, local organic beef, lamb and other meats and cheeses, fair trade products and a wide variety of natural and organic groceries, freshly prepared deli foods, natural body care, vitamins and supplements. We are a community-owned, consumer cooperative with three locations in Albuquerque, one in Santa Fe, and one in Gallup. We know local, but we call it community. We serve our membership, but we also collaborate with farmers, local food and environment advocates, and educators to build community awareness about the links between food, health and the environment.",http://lamontanita.coop/co-op-distribution-center-2/,distributor,0,1,1,0,cooperative,.,0,0,1,0,1,1,1,1,0,1,1,"""fresh, fair, local, organic""",0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,.,.,1300
Agri-Cultura Network,1,Albuquerque,NM,35.084103,-106.650985,Collaboration among small farmers who have sustainable farm practices selling to local markets. Farmer-Owned Brokerage. Grown to include more than 10 farms ,https://afsc.org/program/new-mexico-agri-cultura-network,"farmer collective, aggregation, farm-to-school",1,0,1,0,farmer collective,,0,0,0,1,1,0,0,0,0,0,0,small organic farmers,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,.,.,.
Skaarsgard Farms,1,Albuquerque,NM,35.084103,-106.650985,"The Skarsgard Farms CSA Program is different. By working within a network of certified Organic regional growers, we are able to operate our CSA Program on a year-round basis. You will ALWAYS have access to the freshest fruits and vegetables available, even those that do not grow well here in our New Mexico climate. We are trying to make our CSA an educational, fun, and convenient way for you to support a local organic farm and enjoy top-quality produce. Our CSA Program also helps the local economy by keeping money in the community. More money in the community means more jobs locally",http://skarsgardfarms.deliverybizpro.com/home.php,.,0,1,0,0,.,,0,0,1,0,1,0,1,0,0,1,0,.,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,.,.,.
Arcadia Center for Sustainable Food & Agriculture,1,Alexandria,VA,38.80511,-77.047023,Operates their own farm and sources/distributes from surrounding farms in the local area to help low-income individuals gain access to fresh and sustainable produce. Has many “values” attached to its organization and operates at a regional level. ,http://arcadiafood.org,farm; mobile market; food hub; farm-to-school; veteran farmer program,0,1,0,0,non-profit,,0,1,0,0,1,0,0,0,0,0,0,food access; education; environmental stewardship;  community engagement; ,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,.,.,.
Iowa Valley Food Cooperative,1,Amana,IA,41.800007,-91.870733,"We are a direct-to-consumer cooperative of producer and consumer members in the Cedar Rapids/Iowa City area. IVFC is a web-based cooperative where consumers can order products directly from area farmers and other local businesses. IVFC acts as a facilitator, providing a marketplace for all types of local producers, processing orders and payments, and facilitating delivery to consumer members. Our mission is to increase the resiliency of the local food system in Eastern Iowa by developing the market, increasing the sale, and building the infrastructure for fresh, fairly-priced, sustainably produced food in our local region.  We want to partner with consumers, producers, and businesses that share similar goals. If you share these goals please consider joining or partnering with us",http://iowavalleyfood.com/,.,0,0,1,1,cooperative,,0,0,1,0,1,1,1,1,0,1,1,.,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,.,.,.
Zingerman's Community of Businesses,,Ann Arbor,MI,42.268157,-83.731229,No inclusion/exclusion,https://www.zingermanscommunity.com/,food retailers,,,,,.,,0,0,0,1,,,,,,,,.,,,,,,,,,,,,,,,,.,.,.
Appleton Food Hub,1,Appleton,WI,44.261134,-88.40676,Operates as a middleman between buyers and sellers but doesn’t particularly have values attached to its business other than providing and distributing local food. Provide buyers with as much information as they need but not sure whether this is a VBSC. ,https://appleton.localorbit.com/users/sign_in,online wholesaler marketplace,0,1,0,1,non-profit,,0,0,1,0,1,1,1,0,0,1,0,"""The market automates the financial and administrative aspects of local food transactions, allowing buyers and sellers to build relationships that work.""",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,"online ordering, buyer-seller",.,.
Western Montana Growers Cooperative,1,Arlee,MT,47.161872,-114.085109,"The Western Montana Growers Cooperative (WMGC) is a coalition of growers in the Flathead, Jocko, Mission and Bitterroot Valleys whose goal is to provide the market in our region with fresh, quality products from our farms. To reach that goal, the cooperative provides a wholesale marketing and delivery service for its members. We strive to improve the ""local food system"" of our area by enhancing the sustainability of local farms and contributing to local economic growth, while reducing the demand of produce being shipped here from long distances. WMGC believes in making fresh and nutritious local food available to our community, while fairly supporting local agricultural producers. This business model makes this goal possible",http://wmgcoop.com/,.,1,0,1,0,.,,0,0,1,0,1,1,1,1,0,1,1,.,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,.,.,.
Organic Produce Warehouse,1,Ashland,OR,42.197249,-122.715399,"We strive to be the Rogue Valley’s premier bio-regional food distribution outfit. Focused on natural, organic, and local products, OPW provides a crucial link between the region’s producers and markets. With a keen eye on sustainability, OPW sources and delivers the freshest, highest-quality foods utilizing the most direct food path. With a growing emphasis on local and organic foods and a building awareness of GMO foods, Tom saw being Certified Organic as a great way to propel the local food system into the future. He made transitional and conventional items available but kept the emphasis on organics. Since becoming certified organic the most exciting thing to happen is the birth of Rogue Nation Foods, a label created by OPW to represent the farms and food providers of the Rogue bio-region.  It allows buyers and consumers to easily recognize local foods. By adding more retail and farm partners to the Rogue Nation Foods label, Tom believes we can strengthen our local economy",http://opwfresh.com/,.,0,1,0,0,.,,0,0,1,0,1,0,0,0,0,1,0,.,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,.,.,.
Chequamegon Food Co-op,1,Ashland,WI,46.593077,-90.883871,"We specialize in fresh, organic produce grown within 100 miles of Ashland, Wisconsin. Close to Good-Foods Co-op. The Chequamegon Food Co-op partners with a variety of local businesses to bring you locally crafted goods and locally grown agricultural products. We define local as those producers within 100 miles of our store in Ashland, Wisconsin.”",http://chequamegonfoodcoop.com/,.,0,0,1,0,food cooperative,"The Chequamegon Food Co-op is dedicated to providing ecologically sound foods and products, the production and quality of which promote the health of our members and our community.",0,0,1,0,1,1,1,1,0,1,1,.,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.
Field Goods,1,Athens,NY,42.260365,-73.809571,"Listed as a food-hub by USDA but does not require any production practices so no inclusion/exclusion. “Our mission is to open the floodgates for the flow of local food by delivering food of superior taste, freshness, and nutritional value to as many people as we can find and to be a good partner to our farmers. Field Goods delivers (with delight) local food to your Field Goods site. Our subscription products help you make a commitment to good health, good food and good works. Field Goods delivers to workplace and community locations.  Our workplace delivery service is proven to break down the barrier to a heathy diet. We believe that helping employees achieve and maintain healthy diets is one of the most critical and cost effective ways to improve employee health and reduce costs of illness. Customers receive 6-8 different types of fresh fruit and vegetables each week. The contents of the delivery will vary each week depending on crop conditions and what is in season. We offer a diverse selection which increases nutritional variety and reduces the impact of challenging crop conditions.”",http://www.field-goods.com/,.,0,1,0,0,LLC,,0,0,1,0,1,0,0,0,0,0,0,.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
Shagbark Seed and Mill Company,1,Athens,OH,39.32924,-82.101255,"Mission is to build a field-to-table value chain for regional scale sustainably grown, high nutrition grain and bean products that ensures broad access to good food. That means that good, healthy food is available to newcomers to the local food movement. Our crops are grown on Ohio certified organic and chemical free (not certified) farms, who grow the best varieties of pre-industrial and hybrid organic corn, dry beans, spelt, and amaranth (with more to come). We offer our farm partners the best prices for the best crops grown using the most sustainable growing methods",http://www.shagbarkmill.com/,.,0,1,0,0,LLC,,0,1,0,0,0,0,0,0,0,1,0,.,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,.,.,.
The Turnip Truck,1,Atlanta,GA,33.749099,-84.390185,"We work with local growers and producers to bring their product to market, and promote their operations with deliveries six days a week to Atlanta's finest restaurants. We work with an incredible network of real, hard-working farmers and producers from around the state of Georgia and the region to source the freshest produce and artisan products. The mission of The Turnip Truck is to provide Atlanta area restaurants, schools, and institutions with the finest locally grown vegetables, fruits, dairy products, and other foods, as well as specialty items. We represent a network of over fifty small local farms to provide you with the absolute freshest Vegetables, Fruits, Eggs, Milk, Dairy Products, and more! Please see our Farm Partners page for details on the local food producers that make this all possible. We work with small local producers to iron out the kinks in distribution, warehousing their products so that any time you need their product you can get it delivered to your location. Our goal is to make it as easy as possible for the end user to source from local, sustainable producers. By allowing Atlanta area restaurants to substitute local goods for the conventional products that they would be buying anyway, we are taking large amounts of income that would be going to agriculture industry giants and diverting it back to local producers. By spending your food purchasing dollars with us you are truly helping to forward the slow food agenda and helping to support hard working small farmers in a truly local sphere. In our first five years of operation, we were able to put 1.9 million dollars into the pockets of our local producers! Thanks very much for your support",http://www.turniptruckga.com/,.,0,1,0,1,.,,0,1,0,0,1,1,1,1,0,1,1,.,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,.,.,.
Fulton County Cooperative Fresh Mobile Farmers' Market,1,Atlanta,GA,33.749099,-84.390185,"Program designed to get produce to low-income individuals, no inclusion/exclusion. ",http://www.blankfoundation.org/sites/default/files/food-oasis/Fulton%20Fresh%20Mobile%20Farmers%20Market%20Resource%20Letter_v030614.pdf,.,0,1,0,0,.,,0,0,0,1,1,0,0,0,0,0,0,.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.,.,.
Auburndale Food Cooperative,1,Auburndale,WI,44.625824,-90.011366,Have several CSA farms that operate and supply to several retail outlets from Central Wisconsin. CSA operates through online ordering,http://localfoodmarketplace.com/auburndale/Default.aspx,local grocery; food co-op; online CSA,1,0,1,1,cooperative,,0,0,1,0,1,1,1,0,0,1,0,"fresh, natural, local, convenient",0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,have several CSA market outlets as well as supplying to several retail outlets. CSA operates through online ordering. ,.,12
Greenling,1,Austin,TX,30.271129,-97.743699,"That's when Greenling was born. Built from the ground up around the simple idea that people needed a way to get fresh, nutritious food and we needed to do it in a way that did not damage our environment. We were tech savvy and knew that technology was revolutionizing industry after industry. The award-winning combination of a high-tech business centered around one of the basics of our lives, our food, quickly grew into a thriving community of people supporting this simple, but amazing idea. We hope you find the food Greenling brings you as inspirational as we do and we welcome you to the family",http://www.greenling.com/,.,0,1,0,1,.,,0,0,1,0,1,1,1,1,0,1,1,.,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,.,.,.
CitySprout,1,Austin,TX,30.271129,-97.743699,Website says there service is not available any more. ,http://www.citysprout.com/,.,1,0,0,0,.,,0,0,1,0,1,1,1,1,0,0,0,.,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,.,.,.
Farm to Table Texas,1,Austin,TX,30.271129,-97.743699,"FARM TO TABLE distributes locally grown farm products to area restaurants, commercial kitchens, cafeterias, and independent grocery stores. Our products include fruits, vegetables, cage-free eggs, herbs, cheese, grass-fed beef and lamb, pasture-raised chicken, and pork, all raised without hormones or antibiotics. We partner with the very best farmers in Central Texas that utilize sustainable agriculture and ranching methods to produce the highest quality, most flavorful product found on the market. Because local products do not have to travel far to reach the consumer, the produce can be picked when it is ripest. When a fruit or vegetable is given the time to completely ripen, it fully develops and retains its vitamins and minerals, giving it a more vibrant flavor and maximizing the nutritional content. Our produce is generally harvested within 36 hours of delivery. They have a longer time to ripen “on the vine” and are ready to eat when delivered. They are not picked and processed and then spend a week or more traveling. Other non-local farms pick their produce when it’s still green or unripe. A common practice is to “gas” green tomatoes so they turn red. The result is a red tomato with the taste and texture of a green tomato. Sustainability practices ensure that the land used to raise farm products is healthy and available for years to come. Farm to Table has partnered with farmers and ranchers that have various means to use less non-renewable resources, make less impact on the environment, and grow a healthy and profitable end product. Sustainable methods include important practices like biodiversity, water conservation, and environmental protection.",http://www.farmtotabletx.com/,.,,1,,,LLC,,0,0,1,0,1,1,0,1,0,0,0,.,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,.,.,.
Global Growers Network,1,Avondale Estates,GA,33.771494,-84.267144,"Not really any value-added or inclusion/exclusion criteria (besides farmers they choose) but a lot of intangible values attached to organization. “Global Growers brings you local, organically-grown produce every week direct from our farms and offers a variety of local partner products to select in our marketplace, including pastured eggs, fresh honey, farmstead cheese, grassfed beef, and preserved fruits and pickles.  The mission of Global Growers Network (GG) is to create opportunities in sustainable agriculture in Georgia, by growing good food, training farmers, and providing economic opportunity.  Global Growers is an independent 501c3 nonprofit organization based in Atlanta, GA. Global Growers grew out of the tremendous demand among international farmers, many who came to Atlanta as refugees of war, to reconnect to their agricultural heritage in their new home. Recognizing this exceptional talent, Global Growers connects local families to land, education, and markets in order to build healthier communities and strengthen our local economy. We are committed to cultivating diverse farmers who are traditionally under served by mainstream agricultural service providers. Global Growers specializes in supporting farmers who have come to metro-Atlanta as legal refugees.  Many are from agrarian backgrounds where local foods and food systems were a way of life. As expert agriculturalists from around the world, our farmer network has vital knowledge to offer. We also work with American-born farmers, with an emphasis on low-income and socially disadvantaged growers who are not currently being served by mainstream agricultural organizations.  The farmers are global, and the food is local. Global Growers provides land and agricultural support to develop hands-on production skills relevant to farming in the Southeast U.S. Our education program covers organic agricultural production, business development, and food safety. Global Growers partners with families who are growing food primarily for home (community growers), as well as families who are growing food primarily to earn income (commercial growers).",http://www.globalgrowers.org/,.,1,1,0,0,.,,0,0,1,0,1,1,0,1,0,1,1,.,0,0,1,1,0,,0,0,0,1,1,0,0,0,0,.,.,.
High Country CSA,1,Banner Elk,NC,36.163182,-81.871502,High Country Community Supported Agriculture (HCCSA) is the region's pioneering multi-farm CSA. We are a collaborative of 5 small and organic farms and a network of other producers providing our community with socially and environmentally sustainable food.,http://highcountrycsa.wix.com/2015,.,1,0,0,0,.,,0,0,1,0,1,0,0,1,0,1,1,.,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,.,.,.
Walking Fish,1,Beaufort,NC,34.718217,-76.663819,"Walking Fish is an award winning community supported fishery (CSF) that links fishermen on the coast of North Carolina to consumers in the Triangle. A community supported fishery (CSF) is based on the community supported agriculture (CSA) model. A CSF involves pre-payment by consumers for a 'share’ of fresh, locally harvested seafood (i.e., a set amount of seafood generally picked up by the consumer on a weekly or bi-weekly basis). Just as CSAs can encourage sustainable and profitable farming practices, CSFs have the potential to do the same for fishing. This initiative takes root in the belief that people – whether they are coastal fishermen or local consumers – play an important role in creating solutions to the social, economic, and environmental challenges we face. The goals of this business are simple: to foster economic opportunities, to cultivate healthy communities, and to encourage environmental stewardship. We recognize that conservation is intimately linked to the well-being of people and communities, and we believe that in order to work towards ecological sustainability we must also work towards local economic stability and social equity",http://www.walking-fish.org/,.,0,0,0,0,.,,0,0,1,0,0,0,0,0,1,0,0,.,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,.,.,.
Growing Washington,1,Bellingham,WA,48.754402,-122.47886,"Growing Washington seeks to answer the call of the most nobliest of professions with respect, honor and dignity; providing stewardship of the land to offer nature's very best. We seek to create fertile land, to promote healthy work and to provide a rewarding life. If you live in King, Snohomish, Whatcom, or Skagit Counties and like the idea of supporting dozens of Washington farmers with a single purchase then this is the CSA for you.  If you enjoy eating food grown by some of the best organic farmers in the state, and choosing exactly what you eat, then our CSA is DEFINITELY a perfect fit",http://www.growingwashington.org/,.,1,0,0,0,.,,0,0,1,0,1,0,0,1,1,0,0,.,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,.,.,.
Central Oregon Locavore,1,Bend,OR,44.058173,-121.31531,"We run a variety of educational programs as well as a Local Food Market in downtown Bend. We are proud to be a pick-up spot for several herdshares and CSAs. Locality of food is most important. Local food means fresher, greater nutritional value, shorter transportation distance, seasonal, and a stronger local economy. Nutrient-dense, whole foods that aren't locally available are purchased as close to home as possible.  The local distributors we use are mindful in their purchasing and they source from small-scale farmers and producers that follow organic philosophies and socially responsible practices.” Operate indoor farmer’s market.  Source from a wide variety of farms and promote many educational programs. Membership required.",http://www.centraloregonlocavore.org/,.,0,1,0,0,non-profit,"Our mission is to educate the community about local food, support sustainable, local farming practices and create a more healthy, vibrant, involved community. ",0,0,1,0,1,1,1,1,1,1,1,.,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,.,.,.
North Carolina Natural Hog Growers Association,1,Beulaville,NC,34.923776,-77.773867,Not a VBSC,N/A,.,0,0,0,0,.,,0,0,1,0,0,0,1,0,0,0,0,.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.,.,.
Manna Market,1,Birmingham,AL,33.520682,-86.802433,"Our mission is simple: to provide the best organic or all natural sustainable products and service to our customers at the lowest prices possible. We take great pride in our company, our commitment to customer service and in the products we sell. Our online store is designed to provide you with a safe and secure environment to browse our product catalog. A USDA Food Hub (Hybrid); is listed by the Agricultural Marketing Service (AMS); which also operates an Organic Food Cooperative (CO-OP) which organizes Picks Up locations and or Delivers to customers, as requested. We work with other associated Farms/Ranches, to the smaller local individual farmers and producers, in getting their product to market in many ways, such as from farm to schools, to market, to the table and other procedures. We work with producers to become GAP Certified, as well as other certifications available. In addition, the company is also considered a Hybrid/Community Supported Agriculture (CSA) system, which actually farms its lands and utilizes farming methods of Bio Dynamic procedures, emphasizing holistic development and interrelationships of the soil, plants and animals as a self-sustaining system and sustainable approach to agronomy. Further, it places an emphasis on growing multiple assortment of Herbs for its customers and other consumers",http://shop.mannamarket.net/,.,1,1,1,0,cooperative,,0,0,1,0,1,1,1,1,1,1,1,.,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,.,.,.
Grow Alabama,1,Birmingham,AL,33.520682,-86.802433,no inclusion/exclusion,http://growalabama.com/,.,1,1,0,0,.,,0,0,1,0,1,1,1,1,1,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.,.,.
Quality Foods Distributing,1,Bozeman,MT,45.679984,-111.044675,"As a distributor of natural, organic, and specialty goods, Quality Foods Distributing certainly covers a lot of miles in the Northern Rockies. To serve as the premier distributor of natural, organic, sustainable and locally-produced products across Montana and the Northern Rockies region.  We'll make this mission real by building long-term relationships with our customers, employees, suppliers, and neighbors. We will offer a great selection of the highest-quality products, including exceptional regionally-made goods that invest in our local talents & economy.  We will also provide consistent, reliable service and support that you can count on. Based in Bozeman, Montana, QFD offers grocery and natural food retailers, restaurants, guest ranches, lodges, foodservice operations, and other customers a hand-picked collection of specialty products and sundries that are natural, organic, and sustainably-produced. Plus, in addition to top-quality brands, we proudly feature products that are produced locally, or made in the Northern Rockies... and we'd love to share this wide range of exceptional products with you – and your customers – the next time we're in the neighborhood",http://www.qfdistributing.com/,.,0,1,0,0,.,,0,1,0,0,1,1,1,1,1,1,1,.,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,.,.,.
Sprout MN,1,Brainerd,MN,46.358022,-94.200829,"SPROUT MN, LLC is a Central Minnesota-based food hub located in Brainerd, Minnesota.  A regional food hub is a business or organization that actively manages the aggregation, distribution, and marketing of source-identified food products primarily from local and regional producers to strengthen their ability to satisfy wholesale, retail, and institutional demand.  SPROUT MN also works directly with local producers and buyers by providing technical assistance on Good Agricultural Practices, food safety, licensing, and post-harvest handling. SPROUT MN will be the backbone of a regional sustainable food system by expanding market opportunities for producers in Central Minnesota; and helping the community live happier and healthier lives through providing wholesale buyers and Community Supported Agriculture (CSA) customers with the freshest, tastiest, and most nutritious local products.  Our mission is to promote the health, economy, and self-reliance of Central Minnesota by facilitating the availability of fresh, locally produced food in the region. Being that we are working with multiple growers it is not possible to gurantee the product is going to be certified organic. However, we pride ourselves with working with some of the top growers in our region who practice sustainable, beyond organic farming, and are committed to providing healthy, local foods to the community",http://sproutmn.com/,.,1,1,0,0,.,,0,0,1,0,1,0,0,1,0,0,0,.,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,.,.,.
Windham Food and Farm Network,1,Brattleboro,VT,42.850915,-72.557868,"Windham Farm and Food (WFF) is an aggregation and distribution service providing easy access to healthy food produced in the Windham County, Vermont Region. No inclusion/exclusion criteria. Windham Farm and Food (WFF) is an aggregation and distribution service providing easy access to healthy food produced in the Windham County, Vermont Region. Our Mission - Windham Farm and Food is working to make healthy foods from local farms accessible and affordable to all within our community.   By growing and diversifying local agricultural markets, and facilitating direct farm to institutional sales, we also strive to increase the opportunities and profitability for farmers in our community",https://harvesttomarket.com/farmers-market/Windham-Farm-and-Food-Network,.,0,1,0,0,.,,0,0,1,0,1,1,1,1,0,1,1,.,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,.,.,.
Good Natured Family Farms,1,Bronson,KS,37.895871,-95.073308,"To bring high quality Local food and food products from sustainable family farms to consumers. Good Natured Family Farms Alliance exists to increase the profitability of its members over and above what they can achieve on their own.  The sources of its advantage in the marketplace over its members is its ability to create a basket of food products that no individual producer can efficiently create, and present it more powerfully in the market by pooling strengths and leveraging resources of all members.  Good Natured Family Farms label has positioned itself over the last few years as the label of small local family farms’ fresh, safe, and wholesome products and conscientious environmental production practices.  For these efforts, we have been rewarded by an increasing loyalty of customers.  This loyalty is reflected by an upward trend in total gross sales revenue, approaching 5 million dollars, under the Good Natured Family Farms label. Good Natured Family Farms Alliance is a coalition of independent family farms who recognize the fundamental benefits of cooperative marketing.  By coming together under a single marketing umbrella, we are able to achieve in an efficient manner what we are unable to do individually.  This achievement lies in our ability to bring to market a basket of fresh and processed food products to the market. There are 150 family farms currently selling under the Good Natured Family Farms’ logo in Balls Food Stores in the Kansas City Area.  Our basket of products encompasses all-natural beef, free-range chickens, free-range brown eggs, farmhouse cheeses, milk, eggnog, honey, bison, and in-season fruits and vegetables from tomatoes to chestnuts. Good Natured Family Farms product quality control and proof of authenticity lies in our product identification and traceability program.  Every Good Natured Family Farm product, including a pound of ground beef, can be traced back to the farm.  Over the past several years we have developed Good Natured Family Farms USDA Quality System Verification Programs for our beef and chicken.   Additionally, we have standard operating procedures (SOP’s) and affidavits for all products special label claims",http://www.goodnaturedfamilyfarms.com/,.,1,1,0,0,.,,0,1,0,0,1,1,1,1,0,1,1,.,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.,.,.
Growing Green Mobile Market,1,Buffalo ,NY,42.89718,-78.853322,"The Growing Green Mobile Market combats food inequity head-on by serving areas of Buffalo where access to healthy, affordable and fresh food is limited. The Mobile Market provides produce, grown at MAP and local partner farms, to neighborhoods that lack adequate access to fresh fruits and vegetables. The Mobile Market accepts cash, food stamps, WIC Farmers’ Market Nutrition Program checks, and serves as a vehicle for community nutrition education and food justice awareness. The Growing Green Mobile Market is stocked with a variety of seasonal fruits, vegetables, and eggs. Naturally grown1 or certified organic produce is stocked whenever possible. Prices are generally lower than local grocery stores and the market accepts cash, SNAP (EBT), WIC Farmers’ Market Nutrition Program checks, and — coming soon — credit cards",http://mass-ave.org/programs/mobile-market/,.,0,1,0,0,.,,0,0,1,0,1,0,0,1,0,0,0,,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,.,.,.
Feast Down East,1,Burgaw,NC,34.552111,-77.926098,"We help small and limited resource farmers gain access to markets such as restaurants, grocers, schools and hospitals, which means we shorten the distance between the farm and your fork. The SENCFS Program creates projects that provide the link between farmer and buyer, such as the Farm-to-Chef Program, where farmers and chefs create working relationships with one another; the SENC Foods Processing and Distribution Program that delivers farm products to restaurants, grocers, schools and hospitals; the Farm-to-School Program that links farmers to schools; and the FEASTDOWNEAST ""Buy Local"" campaign, which encourages people to buy locally produced foods. ENCFS considers Local Food to be that which is grown and harvested within 150 miles of its final destination. This could mean food grown at a traditional farm just down the road, at a home, a local school, community garden or nearby church. When you buy local you can be assured your food is fresher, has traveled fewer miles to get to your plate and you are helping to strengthen the local economy.",http://www.feastdowneast.org/,.,0,1,0,1,.,,0,0,1,0,1,0,0,0,1,0,0,.,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,.,.,.
Intervale Center,1,Burlington,VT,44.472399,-73.211494,"Our mission is to strengthen community food systems. Since 1988, we’ve been dedicated to improving farm viability, promoting sustainable land use and engaging our community in the food system. We’re helping to build a community food system that honors producers, values good food and enhances quality of life for Burlington and beyond! The Intervale Center has been building this kind of food system for our community for over 20 years. Our work is guided by three organizational goals, which were formalized during a 2010 Strategic Planning process: By stewarding 350 acres of the Intervale, implementing programs and enterprises and sharing our place and work with people from around the world, we are building a stronger community food system where farm businesses flourish, land and water resources are clean and communities are vibrant and healthy. Founded in 1990, the Farms Program leases land, equipment, greenhouses, irrigation and storage facilities to small independent farms. Each year, these farms produce fresh produce on 135 acres of land and contribute 60 full-time, part-time and seasonal jobs to the Burlington economy. Our goal is to strengthen the relationship between agricultural producers and the community. We believe in “community supported agriculture” where farmers and the community know, support and nourish one another. We provide 100% transparency and traceability, sharing the stories of our farms and processors and offering the community assurance that they are receiving the freshest, healthiest and safest food available.",http://www.intervale.org/,.,0,1,0,1,.,.,0,0,1,0,1,1,1,1,1,1,1,.,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,.,.,.
