Business N,VBSC,City,State,Business W,Business M,CSA,Food-Hub,Cooperativ,Online (De,Legal Stru,National,Regional,County,Produce,Dairy,Meat,Eggs,Seafood,Value-Adde,Preserves/,Health/Nut,Fresh,Local,Sustainabl,Fair,Community,Humane (An,AHSF,Education,Commerce/E,Affordabil,Transparen,Organic,Accessabil,addrtype,addrlocat,lon,lat
Moore Farms and Friends,1,Woodland,AL,https://www.moorefarmsandfriends.com/store/pc/viewContent.asp?idpage=10,.,0,1,0,1,.,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,-87.82281,34.75064
Manna Market,1,Birmingham,AL,http://shop.mannamarket.net/,.,1,1,1,0,cooperative,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,-86.80243,33.52068
Grow Alabama,1,Birmingham,AL,http://growalabama.com/,.,1,1,0,0,.,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-86.80243,33.52068
Russellville Community Market,1,Russellville,AR,http://russellville.locallygrown.net/,.,0,1,0,1,.,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-93.13379,35.27842
Farm2Work,1,Little Rock,AR,http://farm2work.locallygrown.net/,.,0,0,0,1,.,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-92.26515,34.73403
"Arkansas Delta Seeds of Change, Inc",1,Forrest City,AR,N/A,.,0,0,1,0,cooperative,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,-90.78983,35.00815
Little Rock Local Food Club,1,Little Rock,AR,http://littlerock.locallygrown.net/,.,0,1,0,0,.,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,-92.26515,34.73403
Foodshed Farm,1,Grady,AR,http://www.foodshedfarms.com/,.,1,0,0,0,.,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-91.70068,34.0801
"YCGrown, the Yavapai County Farmers & Ranchers Cooperative",1,Chino Valley,AZ,http://www.ycgrown.com/,.,0,1,0,1,non-profit,0,0,1,0,1,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-112.45378,34.75752
Downtown Phoenix Public Market (Community Food Connections),1,Phoenix,AZ,http://phxpublicmarket.com/openair/,.,0,1,0,0,.,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,-112.03876,33.47022
Chow Locally,1,Phoenix,AZ,https://www.chowlocally.com/,.,1,0,0,0,.,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-112.07735,33.44859
Farm 2 Family Direct,1,Nevada City,CA,http://www.farm2familydirect.com/,.,0,1,1,1,cooperative,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-121.01606,39.26156
