"Business Name","VBSC","City","State","Business Website","Business Model","CSA","Food-Hub","Cooperative","Online (Delivery or Pickup)","Legal Structure","National","Regional","State","County","Produce","Dairy","Meat","Eggs","Seafood","Value-Added/ Dry goods","Preserves/ Honey","Health/Nutrition","Fresh","Local","Sustainable/Environment","Fair","Community","Humane (Animal)","AHSF","Education (Consumers)","Education (Farmers)","Commerce/Economics (Local Economy)","Affordability","Transparency","Organic","Accessability"
"Moore Farms and Friends",1,"Woodland","AL","https://www.moorefarmsandfriends.com/store/pc/viewContent.asp?idpage=10",".",0,1,0,1,".",0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1
"Manna Market",1,"Birmingham","AL","http://shop.mannamarket.net/",".",1,1,1,0,"cooperative",0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
"Grow Alabama",1,"Birmingham","AL","http://growalabama.com/",".",1,1,0,0,".",0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Russellville Community Market",1,"Russellville ","AR","http://russellville.locallygrown.net/",".",0,1,0,1,".",0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Farm2Work",1,"Little Rock","AR","http://farm2work.locallygrown.net/",".",0,0,0,1,".",0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Arkansas Delta Seeds of Change, Inc",1,"Forrest City","AR","N/A",".",0,0,1,0,"cooperative",0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"Little Rock Local Food Club",1,"Little Rock","AR","http://littlerock.locallygrown.net/",".",0,1,0,0,".",0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1
"Foodshed Farm",1,"Grady","AR","http://www.foodshedfarms.com/",".",1,0,0,0,".",0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"YCGrown, the Yavapai County Farmers & Ranchers Cooperative",1,"Chino Valley","AZ","http://www.ycgrown.com/",".",0,1,0,1,"non-profit",0,0,1,0,1,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Downtown Phoenix Public Market (Community Food Connections)",1,"Phoenix","AZ","http://phxpublicmarket.com/openair/",".",0,1,0,0,".",0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
"Chow Locally",1,"Phoenix","AZ","https://www.chowlocally.com/",".",1,0,0,0,".",0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Farm 2 Family Direct",1,"Nevada City","CA","http://www.farm2familydirect.com/",".",0,1,1,1,"cooperative",0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Capay Valley Farm Shop",1,"Esparto","CA","http://capayvalleyfarmshop.com/",,1,1,0,1,".",0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Tahoe Food Hub",1,"Truckee","CA","http://www.tahoefoodhub.org/",".",0,1,0,0,"non-profit",0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
"Village Market Place",1,"Los Angeles","CA","http://csuinc.org/programs/village-market-place/",".",0,1,0,0,".",0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1
"Mandela Marketplace",1,"Oakland","CA","http://www.mandelamarketplace.org/#!madelafoods/cs4q",".",0,1,0,0,"non-profit",0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
"Agriculture and Land-Based Training Association (ALBA) Organics",1,"Salinas","CA","http://www.albafarmers.org","distributor; wholesaler; farm-to-business/institution",0,1,0,0,"non-profit",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"Veritable Vegetable",1,"San Francisco","CA","http://www.veritablevegetable.com/",".",0,1,0,0,"b corp",1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
"Harvest Santa Barbara",1,"Santa Barbara","CA","http://www.harvestsantabarbara.com/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Sonoma Organics",1,"Sebastopol","CA","http://www.sonomaorganics.com/",".",0,1,0,0,"s corp",0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Ojai Pixie Growers Association",1,"Ojai","CA","http://www.ojaipixies.com/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"New Roots Food Hub at the International Rescue Committee (IRC)",1,"San Diego","CA","http://www.rescue.org/us-program/us-san-diego-ca/food-hub",".",0,1,0,0,".",0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"f.e.e.d Sonoma",1,"Sebastopol","CA","http://feedsonoma.com/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"Inland Orange Conservancy (Old Grove Oranges)",1,"Mentone","CA","http://oldgrovefarmshare.com/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"South Central Farmers Cooperative, LLC",1,"Sun Valley","CA","https://www.southcentralfarmers.com/",".",1,0,0,0,".",0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
"Phat Beets Produce",1,"Oakland","CA","http://www.phatbeetsproduce.org/",".",1,0,0,0,".",0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
"Swanton Berry Farm",1,"Davenport","CA","http://www.swantonberryfarm.com/","primary food producers and harvesters",0,0,0,0,".",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Santa Monica Farmers Markets",1,"Santa Monica ","CA","http://www.smgov.net/portals/farmersmarket/",".",,,,,".",0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
